image_name,right_index_start,left_index_end,target_angle
lidar_0216.png,215,288,0.0
lidar_0202.png,216,288,0.17
lidar_0389.png,126,378,0.0
lidar_0362.png,126,378,0.0
lidar_0376.png,126,378,0.0
lidar_0377.png,126,378,0.0
lidar_0363.png,126,378,0.0
lidar_0388.png,126,378,0.0
lidar_0203.png,215,288,-0.16
lidar_0217.png,216,288,-0.16
lidar_0201.png,215,288,0.0
lidar_0215.png,215,289,-0.5
lidar_0229.png,205,297,-4.79
lidar_0188.png,216,288,-0.17
lidar_0375.png,126,378,0.0
lidar_0361.png,126,378,0.0
lidar_0349.png,126,378,0.0
lidar_0348.png,126,378,0.0
lidar_0360.png,126,378,0.0
lidar_0374.png,126,378,0.0
lidar_0189.png,216,288,-0.49
lidar_0228.png,207,295,-4.37
lidar_0214.png,216,288,-0.17
lidar_0200.png,215,289,-0.33
lidar_0238.png,177,324,-6.25
lidar_0204.png,215,289,-0.17
lidar_0210.png,216,288,0.0
lidar_0199.png,215,289,-0.33
lidar_0358.png,126,378,0.0
lidar_0370.png,126,378,0.0
lidar_0364.png,126,378,0.0
lidar_0365.png,126,378,0.0
lidar_0371.png,126,378,0.0
lidar_0359.png,126,378,0.0
lidar_0198.png,215,287,0.17
lidar_0211.png,215,288,0.0
lidar_0205.png,215,288,-0.17
lidar_0239.png,173,327,-6.01
lidar_0213.png,216,288,-0.33
lidar_0207.png,215,288,0.0
lidar_0367.png,126,378,0.0
lidar_0373.png,126,378,0.0
lidar_0372.png,126,378,0.0
lidar_0366.png,126,378,0.0
lidar_0206.png,217,288,-0.49
lidar_0212.png,215,289,-0.17
lidar_0275.png,130,376,23.04
lidar_0261.png,113,383,-12.38
lidar_0249.png,105,403,15.63
lidar_0301.png,175,380,-40.0
lidar_0315.png,148,380,-40.0
lidar_0329.png,114,374,-40.0
lidar_0328.png,140,372,-40.0
lidar_0314.png,156,379,-40.0
lidar_0300.png,120,414,-40.0
lidar_0248.png,103,395,16.86
lidar_0260.png,131,375,-3.28
lidar_0274.png,134,367,23.83
lidar_0289.png,97,391,9.82
lidar_0262.png,109,388,-14.09
lidar_0276.png,119,397,27.41
lidar_0316.png,115,387,-40.0
lidar_0302.png,166,381,-40.0
lidar_0303.png,154,385,-40.0
lidar_0317.png,109,387,-40.0
lidar_0277.png,114,401,40.0
lidar_0263.png,106,403,-20.38
lidar_0288.png,98,378,4.8
lidar_0298.png,138,411,-40.0
lidar_0267.png,128,369,10.65
lidar_0273.png,139,361,23.03
lidar_0313.png,169,378,-40.0
lidar_0307.png,175,402,-40.0
lidar_0306.png,111,394,-40.0
lidar_0312.png,107,376,-40.0
lidar_0272.png,145,353,23.17
lidar_0266.png,135,364,12.69
lidar_0299.png,133,409,-40.0
lidar_0258.png,150,359,1.0
lidar_0270.png,100,399,-2.11
lidar_0264.png,154,401,-11.16
lidar_0338.png,126,378,0.0
lidar_0304.png,136,391,-40.0
lidar_0310.png,132,410,-40.0
lidar_0311.png,118,374,-40.0
lidar_0305.png,129,394,-40.0
lidar_0339.png,126,378,0.0
lidar_0265.png,147,405,-3.17
lidar_0271.png,152,399,18.28
lidar_0259.png,137,370,-1.62
lidar_0297.png,153,401,-40.0
lidar_0283.png,136,404,13.47
lidar_0254.png,111,382,-5.88
lidar_0240.png,169,330,-6.06
lidar_0268.png,117,374,9.61
lidar_0320.png,165,394,-40.0
lidar_0334.png,117,393,-40.0
lidar_0308.png,167,404,-40.0
lidar_0309.png,152,408,-40.0
lidar_0335.png,126,397,7.59
lidar_0321.png,152,398,-40.0
lidar_0269.png,98,393,-0.78
lidar_0241.png,163,336,-4.05
lidar_0255.png,97,390,-16.33
lidar_0282.png,140,392,-3.88
lidar_0296.png,104,395,-18.49
lidar_0280.png,94,366,11.58
lidar_0294.png,117,378,-23.32
lidar_0243.png,146,351,-2.96
lidar_0257.png,158,403,-13.8
lidar_0337.png,126,406,6.47
lidar_0323.png,110,405,-40.0
lidar_0322.png,132,405,-40.0
lidar_0336.png,126,402,5.71
lidar_0256.png,94,400,-21.33
lidar_0242.png,159,340,-3.88
lidar_0295.png,104,391,-40.0
lidar_0281.png,145,382,10.05
lidar_0285.png,126,346,-3.67
lidar_0291.png,142,409,7.42
lidar_0246.png,129,370,-1.58
lidar_0252.png,137,363,-4.58
lidar_0332.png,157,384,-40.0
lidar_0326.png,174,369,-40.0
lidar_0327.png,148,370,-40.0
lidar_0333.png,137,390,-40.0
lidar_0253.png,132,368,-4.4
lidar_0247.png,110,387,5.87
lidar_0290.png,147,408,4.1
lidar_0284.png,130,336,11.06
lidar_0292.png,134,367,-20.87
lidar_0286.png,119,353,-14.97
lidar_0279.png,95,357,0.67
lidar_0251.png,142,356,-3.82
lidar_0245.png,137,365,-2.15
lidar_0319.png,175,394,-32.84
lidar_0325.png,190,365,-40.0
lidar_0331.png,173,380,-40.0
lidar_0330.png,180,377,-40.0
lidar_0324.png,200,403,-40.0
lidar_0318.png,110,389,-40.0
lidar_0244.png,141,357,-3.94
lidar_0250.png,150,351,-4.11
lidar_0278.png,107,405,31.61
lidar_0287.png,108,371,-4.27
lidar_0293.png,127,372,-22.94
lidar_0237.png,185,315,-3.74
lidar_0223.png,215,289,0.17
lidar_0196.png,215,287,0.33
lidar_0380.png,126,378,0.0
lidar_0343.png,126,378,0.0
lidar_0357.png,126,378,0.0
lidar_0356.png,126,378,0.0
lidar_0342.png,126,378,0.0
lidar_0381.png,126,378,0.0
lidar_0197.png,215,289,-0.5
lidar_0222.png,215,288,-0.17
lidar_0236.png,190,312,-5.26
lidar_0220.png,215,288,-0.33
lidar_0234.png,196,305,-3.87
lidar_0208.png,215,289,-0.33
lidar_0195.png,216,288,0.0
lidar_0383.png,126,378,0.0
lidar_0354.png,126,378,0.0
lidar_0340.png,126,378,0.0
lidar_0368.png,126,378,0.0
lidar_0369.png,126,378,0.0
lidar_0341.png,126,378,0.0
lidar_0355.png,126,378,0.0
lidar_0382.png,126,378,0.0
lidar_0194.png,215,289,-0.33
lidar_0209.png,216,289,-0.5
lidar_0235.png,194,306,-4.41
lidar_0221.png,215,288,0.0
lidar_0219.png,215,289,-0.33
lidar_0225.png,211,293,-5.46
lidar_0231.png,203,301,-5.09
lidar_0190.png,215,288,-0.17
lidar_0392.png,126,378,0.0
lidar_0386.png,126,378,0.0
lidar_0379.png,126,378,0.0
lidar_0351.png,126,378,0.0
lidar_0345.png,126,378,0.0
lidar_0344.png,126,378,0.0
lidar_0350.png,126,378,0.0
lidar_0378.png,126,378,0.0
lidar_0387.png,126,378,0.0
lidar_0191.png,215,288,0.0
lidar_0230.png,203,300,-5.23
lidar_0224.png,214,291,-0.35
lidar_0218.png,215,287,0.33
